Folio,Nombre del Articulo,Descripcion,Precio,Cantidad,Fecha de Compra,Monto,Impuesto
SEL-10630,Mochila Porta Laptop,Impermeable con puerto USB,7482.6,2,25/04/2023,14965.2,2394.43
SEL-12016,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,6967.42,1,25/01/2024,6967.42,1114.79
SEL-10324,Lámpara LED Escritorio,3 niveles de temperatura de color,2829.47,3,15/10/2023,8488.41,1358.15
SEL-11489,Lámpara LED Escritorio,3 niveles de temperatura de color,767.49,3,31/07/2023,2302.47,368.4
SEL-10737,Smartphone X,Pantalla OLED 6.5 pulgadas,701.17,2,27/09/2023,1402.34,224.37
SEL-10282,Silla de Oficina,Soporte lumbar ajustable,5231.1,4,02/05/2023,20924.4,3347.9
SEL-12049,Mochila Porta Laptop,Impermeable con puerto USB,7071.49,2,16/02/2024,14142.98,2262.88
SEL-12437,Lámpara LED Escritorio,3 niveles de temperatura de color,6364.89,1,29/07/2023,6364.89,1018.38
SEL-10951,Batería Portátil,20000mAh carga rápida,3365.91,3,08/02/2024,10097.73,1615.64
SEL-12207,Silla de Oficina,Soporte lumbar ajustable,3529.42,3,16/02/2024,10588.26,1694.12
SEL-10383,Lámpara LED Escritorio,3 niveles de temperatura de color,1773.86,1,09/10/2023,1773.86,283.82
SEL-11005,Smartphone X,Pantalla OLED 6.5 pulgadas,3509.96,4,08/01/2023,14039.84,2246.37
SEL-10354,Lámpara LED Escritorio,3 niveles de temperatura de color,3692.96,2,07/01/2023,7385.92,1181.75
SEL-10502,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,3289.47,5,13/03/2023,16447.35,2631.58
SEL-12335,Mochila Porta Laptop,Impermeable con puerto USB,4972.02,4,03/06/2023,19888.08,3182.09
SEL-10817,Silla de Oficina,Soporte lumbar ajustable,1008.2,4,02/04/2024,4032.8,645.25
SEL-12255,Smartphone X,Pantalla OLED 6.5 pulgadas,6597.6,4,07/03/2024,26390.4,4222.46
SEL-12166,Mochila Porta Laptop,Impermeable con puerto USB,2264.95,1,18/11/2023,2264.95,362.39
SEL-10370,Silla de Oficina,Soporte lumbar ajustable,4233.38,4,23/03/2024,16933.52,2709.36
SEL-10118,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,3985.9,4,02/02/2024,15943.6,2550.98
SEL-10156,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,2873.72,3,11/01/2023,8621.16,1379.39
SEL-11039,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,4854.91,4,30/08/2023,19419.64,3107.14
SEL-11907,Lámpara LED Escritorio,3 niveles de temperatura de color,6622.17,2,07/09/2023,13244.34,2119.09
SEL-10088,Monitor Curvo 27',Resolución 2K 144Hz,,5,10/03/2024,0.0,0.0
SEL-12079,Mochila Porta Laptop,Impermeable con puerto USB,3827.03,3,23/11/2023,11481.09,1836.97
SEL-12358,Teclado Inalámbrico,Teclas silenciosas español,3286.6,3,01/11/2023,9859.8,1577.57
SEL-11726,Lámpara LED Escritorio,3 niveles de temperatura de color,5886.05,3,04/10/2023,17658.15,2825.3
SEL-10408,Batería Portátil,20000mAh carga rápida,5488.83,3,17/11/2023,16466.49,2634.64
SEL-11401,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,7875.07,4,16/05/2023,31500.28,5040.04
SEL-10302,Silla de Oficina,Soporte lumbar ajustable,2434.37,5,28/05/2023,12171.85,1947.5
SEL-10165,Batería Portátil,20000mAh carga rápida,6033.63,4,17/01/2024,24134.52,3861.52
SEL-10582,Batería Portátil,20000mAh carga rápida,2472.47,2,29/07/2023,4944.94,791.19
SEL-10742,Teclado Inalámbrico,Teclas silenciosas español,5806.21,5,22/04/2024,29031.05,4644.97
SEL-12244,Teclado Inalámbrico,Teclas silenciosas español,1663.46,1,16/01/2023,1663.46,266.15
SEL-10764,Batería Portátil,20000mAh carga rápida,1418.61,4,06/03/2023,5674.44,907.91
SEL-12298,Lámpara LED Escritorio,3 niveles de temperatura de color,797.84,5,27/06/2023,3989.2,638.27
SEL-11479,Teclado Inalámbrico,Teclas silenciosas español,7626.31,4,21/02/2023,30505.24,4880.84
SEL-12111,Silla de Oficina,Soporte lumbar ajustable,3736.85,5,03/07/2023,18684.25,2989.48
SEL-10902,Monitor Curvo 27',Resolución 2K 144Hz,6752.5,1,25/05/2023,6752.5,1080.4
SEL-10201,Monitor Curvo 27',Resolución 2K 144Hz,5563.29,4,18/03/2023,22253.16,3560.51
SEL-10585,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,764.48,3,25/07/2023,2293.44,366.95
SEL-10356,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,1383.1,3,01/07/2023,4149.3,663.89
SEL-10251,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,6468.35,5,09/03/2023,32341.75,5174.68
SEL-11582,Cafetera Espresso,Presión 15 bares automática,1039.44,2,24/07/2023,2078.88,332.62
SEL-10474,Monitor Curvo 27',Resolución 2K 144Hz,2268.69,5,18/09/2023,11343.45,1814.95
SEL-11471,Cafetera Espresso,Presión 15 bares automática,6776.9,5,23/06/2023,33884.5,5421.52
SEL-10900,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,4486.79,5,30/03/2023,22433.95,3589.43
SEL-11200,Mochila Porta Laptop,Impermeable con puerto USB,4237.49,1,22/01/2023,4237.49,678.0
SEL-11371,Batería Portátil,20000mAh carga rápida,4089.61,2,29/09/2023,8179.22,1308.68
SEL-11712,Teclado Inalámbrico,Teclas silenciosas español,3776.37,2,17/12/2023,7552.74,1208.44
SEL-10205,Cafetera Espresso,Presión 15 bares automática,1848.34,5,09/03/2023,9241.7,1478.67
SEL-11223,Batería Portátil,20000mAh carga rápida,1456.86,3,31/07/2023,4370.58,699.29
SEL-11258,Lámpara LED Escritorio,3 niveles de temperatura de color,2265.8,1,15/02/2024,2265.8,362.53
SEL-12279,Smartphone X,Pantalla OLED 6.5 pulgadas,2525.99,1,17/02/2023,2525.99,404.16
SEL-10660,Cafetera Espresso,Presión 15 bares automática,2498.23,1,19/02/2024,2498.23,399.72
SEL-10491,Batería Portátil,20000mAh carga rápida,4959.32,3,14/04/2023,14877.96,2380.47
SEL-10622,Silla de Oficina,Soporte lumbar ajustable,494.73,3,04/04/2024,1484.19,237.47
SEL-11613,Teclado Inalámbrico,Teclas silenciosas español,5543.01,5,28/01/2024,27715.05,4434.41
SEL-11642,Teclado Inalámbrico,Teclas silenciosas español,2408.85,2,13/05/2023,4817.7,770.83
SEL-10358,Lámpara LED Escritorio,3 niveles de temperatura de color,6790.7,3,02/09/2023,20372.1,3259.54
SEL-11179,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,6763.9,5,23/04/2024,33819.5,5411.12
SEL-11020,Batería Portátil,20000mAh carga rápida,956.61,2,11/02/2023,1913.22,306.12
SEL-12305,Cafetera Espresso,Presión 15 bares automática,3538.65,5,18/03/2023,17693.25,2830.92
SEL-10057,Silla de Oficina,Soporte lumbar ajustable,,1,05/05/2024,0.0,0.0
SEL-11113,Monitor Curvo 27',Resolución 2K 144Hz,967.46,5,14/06/2023,4837.3,773.97
SEL-11916,Lámpara LED Escritorio,3 niveles de temperatura de color,1326.46,4,27/01/2024,5305.84,848.93
SEL-11173,Smartphone X,Pantalla OLED 6.5 pulgadas,3046.48,5,22/01/2024,15232.4,2437.18
SEL-10921,Teclado Inalámbrico,Teclas silenciosas español,6578.67,1,06/09/2023,6578.67,1052.59
SEL-10116,Cafetera Espresso,Presión 15 bares automática,2725.38,2,16/04/2023,5450.76,872.12
SEL-11028,Cafetera Espresso,Presión 15 bares automática,7168.41,2,01/03/2024,14336.82,2293.89
SEL-11454,Mochila Porta Laptop,Impermeable con puerto USB,3874.39,5,09/01/2024,19371.95,3099.51
SEL-12424,Lámpara LED Escritorio,3 niveles de temperatura de color,807.18,5,16/02/2023,4035.9,645.74
SEL-12350,Cafetera Espresso,Presión 15 bares automática,3314.36,3,13/05/2024,9943.08,1590.89
SEL-12169,Cafetera Espresso,Presión 15 bares automática,6643.21,2,25/06/2023,13286.42,2125.83
SEL-10575,Mochila Porta Laptop,Impermeable con puerto USB,7166.82,2,16/03/2023,14333.64,2293.38
SEL-10899,Mochila Porta Laptop,Impermeable con puerto USB,3267.51,2,27/03/2024,6535.02,1045.6
SEL-10964,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,7699.94,4,25/04/2023,30799.76,4927.96
SEL-11350,Mochila Porta Laptop,Impermeable con puerto USB,539.49,4,15/01/2023,2157.96,345.27
SEL-10844,Batería Portátil,20000mAh carga rápida,1216.8,4,31/03/2024,4867.2,778.75
SEL-10749,Silla de Oficina,Soporte lumbar ajustable,5039.39,4,09/09/2023,20157.56,3225.21
SEL-11111,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,5246.1,4,17/02/2024,20984.4,3357.5
SEL-11301,Cafetera Espresso,Presión 15 bares automática,5200.85,5,16/04/2023,26004.25,4160.68
SEL-11486,Teclado Inalámbrico,Teclas silenciosas español,484.01,5,31/01/2023,2420.05,387.21
SEL-11599,Cafetera Espresso,Presión 15 bares automática,2769.74,4,22/09/2023,11078.96,1772.63
SEL-12086,Mochila Porta Laptop,Impermeable con puerto USB,3706.56,5,11/11/2023,18532.8,2965.25
SEL-11574,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,6713.06,4,31/12/2023,26852.24,4296.36
SEL-12262,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,2423.98,3,22/09/2023,7271.94,1163.51
SEL-11581,Silla de Oficina,Soporte lumbar ajustable,1809.81,5,12/02/2023,9049.05,1447.85
SEL-10578,Silla de Oficina,Soporte lumbar ajustable,7121.33,2,15/01/2023,14242.66,2278.83
SEL-10297,Silla de Oficina,Soporte lumbar ajustable,5361.88,1,17/03/2023,5361.88,857.9
SEL-10656,Monitor Curvo 27',Resolución 2K 144Hz,3225.06,4,05/05/2024,12900.24,2064.04
SEL-11892,Lámpara LED Escritorio,3 niveles de temperatura de color,4455.87,3,24/03/2024,13367.61,2138.82
SEL-11164,Monitor Curvo 27',Resolución 2K 144Hz,2451.67,1,07/11/2023,2451.67,392.27
SEL-10386,Teclado Inalámbrico,Teclas silenciosas español,3669.4,1,30/01/2024,3669.4,587.1
SEL-11096,Teclado Inalámbrico,Teclas silenciosas español,3906.34,4,25/06/2023,15625.36,2500.06
SEL-11579,Mochila Porta Laptop,Impermeable con puerto USB,4457.41,4,01/01/2023,17829.64,2852.74
SEL-11808,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,438.39,1,20/01/2024,438.39,70.14
SEL-10118,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,3985.9,4,02/02/2024,15943.6,2550.98
SEL-12355,Batería Portátil,20000mAh carga rápida,4477.58,5,13/10/2023,22387.9,3582.06
SEL-10170,Cafetera Espresso,Presión 15 bares automática,7164.87,2,09/01/2023,14329.74,2292.76
SEL-12276,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,7359.7,4,09/09/2023,29438.8,4710.21
SEL-10605,Teclado Inalámbrico,Teclas silenciosas español,7816.62,2,21/11/2023,15633.24,2501.32
SEL-10286,Monitor Curvo 27',Resolución 2K 144Hz,7101.79,5,01/12/2023,35508.95,5681.43
SEL-12224,Silla de Oficina,Soporte lumbar ajustable,1617.65,5,02/05/2024,8088.25,1294.12
SEL-11706,Cafetera Espresso,Presión 15 bares automática,6754.75,5,25/09/2023,33773.75,5403.8
SEL-10797,Batería Portátil,20000mAh carga rápida,973.78,4,14/05/2023,3895.12,623.22
SEL-11443,Batería Portátil,20000mAh carga rápida,1312.97,3,10/04/2023,3938.91,630.23
SEL-11766,Lámpara LED Escritorio,3 niveles de temperatura de color,7711.8,3,29/01/2023,23135.4,3701.66
SEL-11300,Mochila Porta Laptop,Impermeable con puerto USB,1223.03,3,25/05/2023,3669.09,587.05
SEL-10791,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,1630.2,4,02/04/2024,6520.8,1043.33
SEL-10128,Silla de Oficina,Soporte lumbar ajustable,7361.4,2,04/04/2023,14722.8,2355.65
SEL-12410,Teclado Inalámbrico,Teclas silenciosas español,4057.98,3,01/09/2023,12173.94,1947.83
SEL-12205,Silla de Oficina,Soporte lumbar ajustable,2743.43,1,03/01/2023,2743.43,438.95
SEL-11106,Silla de Oficina,Soporte lumbar ajustable,5975.54,4,14/01/2024,23902.16,3824.35
SEL-10601,Cafetera Espresso,Presión 15 bares automática,540.79,3,16/06/2023,1622.37,259.58
SEL-10382,Mochila Porta Laptop,Impermeable con puerto USB,6485.69,3,02/12/2023,19457.07,3113.13
SEL-11845,Lámpara LED Escritorio,3 niveles de temperatura de color,3637.32,3,06/05/2024,10911.96,1745.91
SEL-10007,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,,4,19/09/2023,0.0,0.0
SEL-10420,Teclado Inalámbrico,Teclas silenciosas español,2406.33,1,25/11/2023,2406.33,385.01
SEL-10848,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,7965.12,2,19/02/2024,15930.24,2548.84
SEL-11071,Lámpara LED Escritorio,3 niveles de temperatura de color,4939.58,3,03/04/2024,14818.74,2371.0
SEL-10080,Monitor Curvo 27',Resolución 2K 144Hz,,1,25/04/2023,0.0,0.0
SEL-11833,Cafetera Espresso,Presión 15 bares automática,3230.77,4,10/07/2023,12923.08,2067.69
SEL-10967,Silla de Oficina,Soporte lumbar ajustable,7598.31,4,10/04/2023,30393.24,4862.92
SEL-10530,Teclado Inalámbrico,Teclas silenciosas español,3236.41,5,17/08/2023,16182.05,2589.13
SEL-12054,Mochila Porta Laptop,Impermeable con puerto USB,2730.2,4,01/11/2023,10920.8,1747.33
SEL-10939,Monitor Curvo 27',Resolución 2K 144Hz,2618.83,4,09/04/2023,10475.32,1676.05
SEL-10507,Cafetera Espresso,Presión 15 bares automática,405.25,2,17/05/2023,810.5,129.68
SEL-10693,Mochila Porta Laptop,Impermeable con puerto USB,819.74,2,03/07/2023,1639.48,262.32
SEL-10406,Silla de Oficina,Soporte lumbar ajustable,833.72,2,31/07/2023,1667.44,266.79
SEL-10627,Teclado Inalámbrico,Teclas silenciosas español,1759.24,4,26/03/2024,7036.96,1125.91
SEL-10023,Lámpara LED Escritorio,3 niveles de temperatura de color,,3,29/03/2023,0.0,0.0
SEL-11835,Batería Portátil,20000mAh carga rápida,815.29,4,21/11/2023,3261.16,521.79
SEL-10047,Teclado Inalámbrico,Teclas silenciosas español,,2,23/08/2023,0.0,0.0
SEL-10576,Teclado Inalámbrico,Teclas silenciosas español,5205.95,4,11/01/2024,20823.8,3331.81
SEL-11061,Monitor Curvo 27',Resolución 2K 144Hz,3912.63,1,29/10/2023,3912.63,626.02
SEL-11496,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,6541.79,5,22/10/2023,32708.95,5233.43
SEL-11536,Smartphone X,Pantalla OLED 6.5 pulgadas,237.85,3,08/01/2024,713.55,114.17
SEL-12253,Lámpara LED Escritorio,3 niveles de temperatura de color,1767.85,4,31/01/2023,7071.4,1131.42
SEL-12278,Smartphone X,Pantalla OLED 6.5 pulgadas,2312.59,3,02/04/2024,6937.77,1110.04
SEL-10267,Lámpara LED Escritorio,3 niveles de temperatura de color,2524.37,1,16/01/2024,2524.37,403.9
SEL-11550,Monitor Curvo 27',Resolución 2K 144Hz,2755.93,5,24/05/2023,13779.65,2204.74
SEL-11458,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,6741.53,4,16/07/2023,26966.12,4314.58
SEL-12331,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,4826.47,4,05/03/2023,19305.88,3088.94
SEL-10152,Batería Portátil,20000mAh carga rápida,4361.02,2,15/09/2023,8722.04,1395.53
SEL-11431,Monitor Curvo 27',Resolución 2K 144Hz,7071.63,3,10/03/2023,21214.89,3394.38
SEL-11310,Smartphone X,Pantalla OLED 6.5 pulgadas,2166.42,2,24/01/2023,4332.84,693.25
SEL-10961,Teclado Inalámbrico,Teclas silenciosas español,5311.39,2,07/03/2023,10622.78,1699.64
SEL-11835,Batería Portátil,20000mAh carga rápida,815.29,4,21/11/2023,3261.16,521.79
SEL-10603,Smartphone X,Pantalla OLED 6.5 pulgadas,4159.04,4,13/01/2024,16636.16,2661.79
SEL-11495,Silla de Oficina,Soporte lumbar ajustable,5260.15,2,30/10/2023,10520.3,1683.25
SEL-11567,Monitor Curvo 27',Resolución 2K 144Hz,2048.63,1,25/06/2023,2048.63,327.78
SEL-11818,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,7567.75,4,21/05/2023,30271.0,4843.36
SEL-11282,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,240.27,3,26/08/2023,720.81,115.33
SEL-11965,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,3017.35,2,14/02/2024,6034.7,965.55
SEL-11439,Mochila Porta Laptop,Impermeable con puerto USB,879.56,4,05/04/2023,3518.24,562.92
SEL-11427,Lámpara LED Escritorio,3 niveles de temperatura de color,5450.62,3,17/03/2023,16351.86,2616.3
SEL-11600,Mochila Porta Laptop,Impermeable con puerto USB,5489.5,1,12/05/2023,5489.5,878.32
SEL-11717,Silla de Oficina,Soporte lumbar ajustable,5532.66,1,22/10/2023,5532.66,885.23
SEL-10404,Mochila Porta Laptop,Impermeable con puerto USB,3763.38,2,09/05/2024,7526.76,1204.28
SEL-12287,Lámpara LED Escritorio,3 niveles de temperatura de color,953.14,1,09/12/2023,953.14,152.5
SEL-11753,Silla de Oficina,Soporte lumbar ajustable,5884.05,5,26/02/2023,29420.25,4707.24
SEL-10126,Mochila Porta Laptop,Impermeable con puerto USB,4121.26,5,19/08/2023,20606.3,3297.01
SEL-12022,Batería Portátil,20000mAh carga rápida,2419.06,2,17/07/2023,4838.12,774.1
SEL-10051,Monitor Curvo 27',Resolución 2K 144Hz,,4,18/10/2023,0.0,0.0
SEL-12008,Batería Portátil,20000mAh carga rápida,6062.91,2,09/01/2023,12125.82,1940.13
SEL-11615,Silla de Oficina,Soporte lumbar ajustable,7870.51,4,10/04/2023,31482.04,5037.13
SEL-10445,Lámpara LED Escritorio,3 niveles de temperatura de color,4926.65,3,11/04/2023,14779.95,2364.79
SEL-10194,Mochila Porta Laptop,Impermeable con puerto USB,6787.12,4,03/05/2024,27148.48,4343.76
SEL-10262,Mochila Porta Laptop,Impermeable con puerto USB,6483.86,5,05/12/2023,32419.3,5187.09
SEL-10062,Lámpara LED Escritorio,3 niveles de temperatura de color,,2,19/10/2023,0.0,0.0
SEL-12020,Teclado Inalámbrico,Teclas silenciosas español,6608.33,2,25/04/2023,13216.66,2114.67
SEL-11147,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,4702.5,5,31/03/2024,23512.5,3762.0
SEL-11538,Mochila Porta Laptop,Impermeable con puerto USB,2242.45,5,30/04/2024,11212.25,1793.96
SEL-10779,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,2027.8,4,15/11/2023,8111.2,1297.79
SEL-11047,Batería Portátil,20000mAh carga rápida,5753.71,1,24/01/2024,5753.71,920.59
SEL-12170,Mochila Porta Laptop,Impermeable con puerto USB,2377.8,5,09/09/2023,11889.0,1902.24
SEL-10788,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,4586.24,1,10/04/2023,4586.24,733.8
SEL-11124,Monitor Curvo 27',Resolución 2K 144Hz,2407.42,2,12/10/2023,4814.84,770.37
SEL-10958,Batería Portátil,20000mAh carga rápida,6442.02,2,19/11/2023,12884.04,2061.45
SEL-12041,Cafetera Espresso,Presión 15 bares automática,7352.52,3,11/08/2023,22057.56,3529.21
SEL-12035,Lámpara LED Escritorio,3 niveles de temperatura de color,1311.35,4,03/01/2024,5245.4,839.26
SEL-10940,Batería Portátil,20000mAh carga rápida,7105.47,5,06/01/2023,35527.35,5684.38
SEL-11537,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,1827.76,2,14/07/2023,3655.52,584.88
SEL-10421,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,5992.68,5,26/01/2024,29963.4,4794.14
SEL-11770,Monitor Curvo 27',Resolución 2K 144Hz,7456.0,5,13/12/2023,37280.0,5964.8
SEL-10185,Batería Portátil,20000mAh carga rápida,1853.48,1,06/04/2024,1853.48,296.56
SEL-12088,Monitor Curvo 27',Resolución 2K 144Hz,6822.53,3,08/08/2023,20467.59,3274.81
SEL-12064,Batería Portátil,20000mAh carga rápida,3663.01,4,13/09/2023,14652.04,2344.33
SEL-11116,Lámpara LED Escritorio,3 niveles de temperatura de color,1288.23,4,25/04/2023,5152.92,824.47
SEL-11578,Lámpara LED Escritorio,3 niveles de temperatura de color,5907.0,3,07/10/2023,17721.0,2835.36
SEL-11122,Lámpara LED Escritorio,3 niveles de temperatura de color,5231.81,1,03/05/2024,5231.81,837.09
SEL-10698,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,1353.68,2,05/04/2024,2707.36,433.18
SEL-10074,Silla de Oficina,Soporte lumbar ajustable,,5,01/03/2023,0.0,0.0
SEL-11149,Lámpara LED Escritorio,3 niveles de temperatura de color,2206.04,2,25/07/2023,4412.08,705.93
SEL-11316,Teclado Inalámbrico,Teclas silenciosas español,5979.29,2,27/02/2024,11958.58,1913.37
SEL-11670,Teclado Inalámbrico,Teclas silenciosas español,6034.58,1,24/03/2023,6034.58,965.53
SEL-10950,Teclado Inalámbrico,Teclas silenciosas español,7797.23,4,30/03/2023,31188.92,4990.23
SEL-10654,Cafetera Espresso,Presión 15 bares automática,6010.56,2,03/02/2023,12021.12,1923.38
SEL-10866,Smartphone X,Pantalla OLED 6.5 pulgadas,1433.61,3,01/05/2024,4300.83,688.13
SEL-10867,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,3827.64,4,28/04/2024,15310.56,2449.69
SEL-11062,Smartphone X,Pantalla OLED 6.5 pulgadas,4778.48,3,13/10/2023,14335.44,2293.67
SEL-11456,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,3749.65,4,18/05/2023,14998.6,2399.78
SEL-11533,Batería Portátil,20000mAh carga rápida,3696.13,5,08/11/2023,18480.65,2956.9
SEL-12218,Monitor Curvo 27',Resolución 2K 144Hz,5958.0,1,26/03/2023,5958.0,953.28
SEL-10176,Lámpara LED Escritorio,3 niveles de temperatura de color,6034.72,4,13/05/2023,24138.88,3862.22
SEL-11016,Monitor Curvo 27',Resolución 2K 144Hz,5327.46,3,22/05/2023,15982.38,2557.18
SEL-11387,Lámpara LED Escritorio,3 niveles de temperatura de color,3947.54,2,06/05/2024,7895.08,1263.21
SEL-11455,Teclado Inalámbrico,Teclas silenciosas español,3626.08,5,12/02/2024,18130.4,2900.86
SEL-12448,Teclado Inalámbrico,Teclas silenciosas español,811.21,5,01/01/2023,4056.05,648.97
SEL-11551,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,4616.37,4,05/06/2023,18465.48,2954.48
SEL-11521,Teclado Inalámbrico,Teclas silenciosas español,6053.3,4,07/06/2023,24213.2,3874.11
SEL-11682,Batería Portátil,20000mAh carga rápida,4951.91,2,08/01/2023,9903.82,1584.61
SEL-10529,Cafetera Espresso,Presión 15 bares automática,5225.91,4,25/10/2023,20903.64,3344.58
SEL-10566,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,1923.85,1,29/02/2024,1923.85,307.82
SEL-11860,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,2705.59,2,22/02/2024,5411.18,865.79
SEL-11527,Silla de Oficina,Soporte lumbar ajustable,7251.62,4,13/04/2024,29006.48,4641.04
SEL-11095,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,7087.18,1,30/01/2023,7087.18,1133.95
SEL-10314,Silla de Oficina,Soporte lumbar ajustable,7974.67,2,30/01/2023,15949.34,2551.89
SEL-10031,Monitor Curvo 27',Resolución 2K 144Hz,,3,08/05/2024,0.0,0.0
SEL-10113,Smartphone X,Pantalla OLED 6.5 pulgadas,2188.73,4,08/03/2023,8754.92,1400.79
SEL-10452,Batería Portátil,20000mAh carga rápida,3425.36,2,17/01/2023,6850.72,1096.12
SEL-10451,Mochila Porta Laptop,Impermeable con puerto USB,7471.33,2,26/04/2024,14942.66,2390.83
SEL-10066,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,,4,31/01/2024,0.0,0.0
SEL-11019,Lámpara LED Escritorio,3 niveles de temperatura de color,1306.02,2,06/12/2023,2612.04,417.93
SEL-10987,Mochila Porta Laptop,Impermeable con puerto USB,1604.2,4,06/12/2023,6416.8,1026.69
SEL-10130,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,4124.21,1,24/03/2024,4124.21,659.87
SEL-11230,Monitor Curvo 27',Resolución 2K 144Hz,751.78,4,31/08/2023,3007.12,481.14
SEL-10061,Silla de Oficina,Soporte lumbar ajustable,,2,02/03/2024,0.0,0.0
SEL-10696,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,1251.62,1,10/03/2023,1251.62,200.26
SEL-10905,Smartphone X,Pantalla OLED 6.5 pulgadas,7242.53,1,17/07/2023,7242.53,1158.8
SEL-10288,Monitor Curvo 27',Resolución 2K 144Hz,5967.62,2,22/01/2024,11935.24,1909.64
SEL-11267,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,7313.7,1,23/07/2023,7313.7,1170.19
SEL-11811,Lámpara LED Escritorio,3 niveles de temperatura de color,2553.67,2,14/05/2024,5107.34,817.17
SEL-11198,Mochila Porta Laptop,Impermeable con puerto USB,6294.0,3,02/04/2023,18882.0,3021.12
SEL-10127,Monitor Curvo 27',Resolución 2K 144Hz,5490.74,5,07/07/2023,27453.7,4392.59
SEL-10101,Mochila Porta Laptop,Impermeable con puerto USB,5714.41,4,02/05/2023,22857.64,3657.22
SEL-11826,Batería Portátil,20000mAh carga rápida,2310.01,2,31/05/2023,4620.02,739.2
SEL-10466,Mochila Porta Laptop,Impermeable con puerto USB,7018.25,1,07/02/2024,7018.25,1122.92
SEL-10366,Cafetera Espresso,Presión 15 bares automática,7973.02,5,05/10/2023,39865.1,6378.42
SEL-12306,Lámpara LED Escritorio,3 niveles de temperatura de color,5000.72,1,07/07/2023,5000.72,800.12
SEL-11610,Cafetera Espresso,Presión 15 bares automática,1844.53,5,30/03/2024,9222.65,1475.62
SEL-11259,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,7999.15,3,21/03/2024,23997.45,3839.59
SEL-10379,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,6595.34,2,30/05/2023,13190.68,2110.51
SEL-12124,Monitor Curvo 27',Resolución 2K 144Hz,1325.11,5,23/02/2023,6625.55,1060.09
SEL-12172,Batería Portátil,20000mAh carga rápida,2274.82,1,05/09/2023,2274.82,363.97
SEL-11807,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,5967.93,5,27/03/2024,29839.65,4774.34
SEL-10079,Monitor Curvo 27',Resolución 2K 144Hz,,1,06/09/2023,0.0,0.0
SEL-12184,Cafetera Espresso,Presión 15 bares automática,1101.64,3,16/05/2023,3304.92,528.79
SEL-10547,Smartphone X,Pantalla OLED 6.5 pulgadas,892.52,5,18/02/2023,4462.6,714.02
SEL-10221,Smartphone X,Pantalla OLED 6.5 pulgadas,7316.56,1,23/07/2023,7316.56,1170.65
SEL-10641,Mochila Porta Laptop,Impermeable con puerto USB,2217.23,4,20/04/2023,8868.92,1419.03
SEL-10748,Monitor Curvo 27',Resolución 2K 144Hz,906.05,1,08/10/2023,906.05,144.97
SEL-10922,Silla de Oficina,Soporte lumbar ajustable,747.1,1,03/04/2023,747.1,119.54
SEL-11073,Mochila Porta Laptop,Impermeable con puerto USB,6865.39,4,28/01/2023,27461.56,4393.85
SEL-12354,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,2726.03,2,19/06/2023,5452.06,872.33
